QUESTION,ANSWER,,,,,,,,,,,,SOURCE
What is Chickenpox?,"Chickenpox is a contagious disease caused by the varicella-zoster virus.It is characterised by an itchy rash, fever and fatigue. Vaccination is the most effective way to prevent its spread.",,,,,,,,,,,,Quora
What causes Chickenpox?,"Contact with infected individuals causes the majority of instances. For one to two days before your blisters emerge, the virus is infectious to everyone around you.Until all blisters have crusted over, VZV is infectious. It can propagate by Saliva, coughing, sneezing, Contact with blister fluids",,,,,,,,,,,,Quora
What is COVID-19?,"COVID-19 is a pandemic that originated in Wuhan, chin. I is a deadly virus because it multiplies very quickly and exponentially.To add to the woes, it does not show symptoms in the infected person immediately and by the time the symptoms are detected, it infects scores of other people. It enters our respiratory system and infects our lungs.",,,,,,,,,,,,Quora
What is Influenza & its causes?What are the common symptoms of COVID-19?,"The virus causes respiratory infections from common cold to severe respiratory failure and may also show symptoms involving other body systems. There have been cases which showed cardiac and neurological symptoms. The characteristic symptoms include difficulty in breathing, fever, dry cough, tiredness. Aches and pains have also been reported in few cases",,,,,,,,,,,,Quora
,"Influenza is a respiratory viral infection caused by an influenza virus (RNA).The influenza viruses are classified into types A, B and C on the basis of their core proteins. It can cause mild to severe illness, and at times can lead to death. Influenza viruses belong to the family Orthomyxoviridiae, which is characterized by a single-stranded and segmented RNA.",,,,,,,,,,,,Quora
What are some symptoms & prevention of Influenza?,"The most common symptoms of this virus are sore throat, cough, headache, fever, and cold-like symptoms. The best way to prevent infection from influenza virus is to get flu vaccination.",,,,,,,,,,,,Quora
What is Common Cold & how it is treated?,"Common colds are caused by a viral infection and are characterized by symptoms such as a runny nose, sneezing, and a mild fever. They are usually self-limiting and go away on their own within a week or two. Treatment for colds is mainly focused on relieving symptoms, such as taking over-the-counter pain relievers, getting plenty of rest, and staying hydrated.",,,,,,,,,,,,Quora
What is Tuberculosis?,"It is a disease causes by a bacteria in the lungs. The bacteria eats away the alveolis( small sacs in lungs) thus decreasing its efficiency of providing oxygen. TB is spread through the air when an infected person coughs, sneezes, or talks, releasing tiny droplets that contain the bacteria.",,,,,,,,,,,,Quora
Discuss Symptoms & treatments of Tuberculosis?,"Common symptoms include a persistent cough (often with blood), chest pain, weight loss, fever, and night sweats.  TB is treatable and curable with a course of antibiotics, typically lasting six months or longer.",,,,,,,,,,,,Quora
What is Mumps & How it spread?,Mumps is an viral disease caused by the mumps virus.It's spread through saliva contact. You can get it from droplet contact of the infected person sneezing or coughing. Or sharing a utensil or cup with an infected person also.,,,,,,,,,,,,Quora
How Mumps affect & discuss it treatments?,"Mumps can affect areas of the body like the brain, pancreas, testicles, membranes and fluid around the spinal cord. Treatment is rest, cold compresses on the inflamed salivary glands in the neck & over the counter pain",,,,,,,,,,,,Quora
What is Cancer?,Cancer is a disease characterized by uncontrolled division of abnormal cells in the body. These cancerous cells can invade and damage nearby tissues and organs and they can also spread to other parts of the body in a process called metastasis. Cancer is extremely complex and there are more than 100 different types. It is one of the leading causes of death worldwide.,,,,,,,,,,,,Quora
What are the causes of Cancer?,"Understanding the causes helps in prevention & early detection.Cancer is caused by a combination of genetic, environmental(is. Radiation) , and lifestyle(Smoke, First, Alcohol consumption & others) factors that lead to changes in the DNA of cells.",,,,,,,,,,,,Quora
What are the kinds of Cancer?,"kinds of Cancer - Bladder Cancer: Bladder cancer risk factors include smoking, genetic mutations, etc, Colorectal Cancer, Kidney Cancer, Lymphoma, Ovarian Cancer, Thyroid Cancer.",,,,,,,,,,,,Quora
What is Diabetes?,"Diabetes is a chronic disease that affects the way your body uses glucose, or sugar. Glucose is essential for energy production, so when glucose isn't available from food, the body will turn to other sources such as fat stores. This can lead to long-term health problems if not treated.",,,,,,,,,,,,Quora
How are the causes of Diabetes?,"There are many potential causes of diabetes, but the most common is obesity. Excess weight can increase your risk of developing type 2 diabetes because it raises your BMI.Other factors that can increase your risk include genetics, age, and race/ethnicity.",,,,,,,,,,,,Quora
What is Hypertension?,"Hypertension, also known as high blood pressure, is a medical condition where the blood pressure in the arteries is consistently too high. Blood pressure is measured in millimeters of mercury (mmHg)",,,,,,,,,,,,Quora
What are the causes and Risk factors of Hypertension?,"Family history, Age (increases after 40), Obesity,  ⁠Physical inactivity,  ⁠Smoking, ⁠High sodium intake, ⁠Low potassium intake, Stress ⁠Sleep apnea, ⁠Kidney disease, Adrenal gland disorders",,,,,,,,,,,,Quora
wha are the symptoms and complications of Hypertension?,"Symptoms: Headaches, Dizziness, Nosebleeds, ⁠Fatigue, Vision problems; complications including: Heart failure, Stroke, Kidney disease, Atherosclerosis (narrowing of arteries), Heart attack, Vision loss",,,,,,,,,,,,Quora
What is Asthma?,"Asthma is a chronic inflammatory condition of the air passageways mainly caused due to allergic reaction of bodily cells to external stimulus. Asthma flares up due to exposure to dust, air pollutants or smoke, unfavorable reaction to certain food items causing symptoms like wheezing and breathlessness",,,,,,,,,,,,Quora
